,Restaurant,Rating,reviewsCount,street,phone,categoryName,url,Latitude,Longitude,Restroom,Wifi Availabilty,Cost of 2 person,Payment Method
0,Haldiram's,4.2,12973,"Haldiram's - Restaurant & Retail Outlet, Plot No. 214, WHC Road, Dharampeth, near Shankar Nagar",+91 712 252 2202,Fast food restaurant,"https://www.google.com/maps/place/Haldiram's/@21.1367356,79.0605046,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c063dc841d01:0x1bec3c882b3baa1c!8m2!3d21.1367356!4d79.0605046!16s%2Fg%2F1q67899v4?hl=en",21.1367356,79.0605046,Yes,Yes,905,ALL
1,Haldiram's,4.3,12347,"Unit No.60, Ground Floor, Anjuman Complex, Mangalwari Bazar Rd, near Anjuman Polytechnic",+91 70300 00146,Family restaurant,"https://www.google.com/maps/place/Haldiram's/@21.1635421,79.08017,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0c011f8b8d1:0x2e8bbf681ac84897!8m2!3d21.1635421!4d79.08017!16s%2Fg%2F1vnthbtm?hl=en",21.1635421,79.08017,Yes,Yes,562,ALL
2,Haldiram's Abhinandan,4.1,6920,"City Road, near City Post Office",+91 712 277 9187,Restaurant,"https://www.google.com/maps/place/Haldiram's+Abhinandan/@21.1526584,79.1085892,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0cca3efaa93:0x96917d0b0a4fe62!8m2!3d21.1526584!4d79.1085892!16s%2Fg%2F1tl0vt2f?hl=en",21.1526584,79.1085892,Yes,Yes,700,ALL
3,Reddy's Gokul Brindavan,4.3,6279,"Coffee House Builiding, W High Ct Rd",+91 93731 02496,South Indian restaurant,"https://www.google.com/maps/place/Reddy's+Gokul+Brindavan/@21.1422,79.061052,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0608e67d76f:0x63092d85f2c504a2!8m2!3d21.1422!4d79.061052!16s%2Fg%2F11c5bgtv2_?hl=en",21.1422,79.061052,Yes,Yes,852,ALL
4,The Chatori Street -Nagpur's 1st outdoor food court chain.,4.2,6137,"280, Central Bazar Road",+91 96736 14281,Food court,"https://www.google.com/maps/place/The+Chatori+Street+-Nagpur's+1st+outdoor+food+court+chain./@21.1332186,79.0718678,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c08f68294b09:0x5367f4865ed534b!8m2!3d21.1332186!4d79.0718678!16s%2Fg%2F11ggr04zdn?hl=en",21.1332186,79.0718678,Yes,Yes,712,ALL
5,Gayatri Bhojnalaya,4.3,6079,"W High Ct Rd, Behind Khandelwal Jewellers",+91 77091 09275,Marathi restaurant,"https://www.google.com/maps/place/Gayatri+Bhojnalaya/@21.1413035,79.0617635,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0605888ac6d:0xc7ae1df24f4d4fee!8m2!3d21.1413035!4d79.0617635!16s%2Fg%2F11b5pj9fl0?hl=en",21.1413035,79.0617635,Yes,Yes,956,ALL
6,Checkers Restaurant VCA,4.2,5993,"23/24, VCA Ground, K Naidu Road, near Liberty Cinema C",,Restaurant,"https://www.google.com/maps/place/Checkers+Restaurant+VCA/@21.1578596,79.0766613,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0f3c0000001:0x4ebde56a80aaf0d7!8m2!3d21.1578596!4d79.0766613!16s%2Fg%2F1tgfbt_l?hl=en",21.1578596,79.0766613,Yes,Yes,559,ALL
7,Uttar Dakshin by Naivedhyam,4.3,5942,Mount Rd Ext,+91 93268 81014,South Indian restaurant,"https://www.google.com/maps/place/Uttar+Dakshin+by+Naivedhyam/@21.1588564,79.0798939,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e5c8fb6e69:0xb2fc4ce4f055a0ef!8m2!3d21.1588564!4d79.0798939!16s%2Fg%2F11c59p6bcf?hl=en",21.1588564,79.0798939,Yes,No,949,ALL
8,Vishnuji Ki Rasoi,4.1,5807,Central Bazar Road,+91 93703 27557,Marathi restaurant,"https://www.google.com/maps/place/Vishnuji+Ki+Rasoi/@21.1313664,79.065387,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c087fa82acc5:0xca702af452e5fe7b!8m2!3d21.1313664!4d79.065387!16s%2Fg%2F12635zq3g?hl=en",21.1313664,79.065387,Yes,Yes,519,ALL
9,Barbeque Nation - Nagpur - Eternity Mall,4.4,5223,"2nd Floor Eternity Mall, Amravati Rd",+91 80 6902 8737,Barbecue restaurant,"https://www.google.com/maps/place/Barbeque+Nation+-+Nagpur+-+Eternity+Mall/@21.1429634,79.0804153,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c09341ae8c1b:0x1a8f421e441c162b!8m2!3d21.1429634!4d79.0804153!16s%2Fg%2F11cjkqd5gt?hl=en",21.1429634,79.0804153,Yes,Yes,680,ALL
